API_Input,Body,bodyTypeGroupIds
bodyTypeGroup,Convertible,bg1
bodyTypeGroup,Coupe,bg0
bodyTypeGroup,Hatchback,bg3
bodyTypeGroup,Minivan,bg4
bodyTypeGroup,Pickup,bg5
bodyTypeGroup,Sedan,bg6
bodyTypeGroup,SUV,bg7
bodyTypeGroup,Van,bg8
bodyTypeGroup,Wagon,bg9
